trial_id,subj,item,np,onset,n_edits,ld,ReadDur,slen,ldlen,exp
1_1_61,1,1,Glob,613,0,3,4612,43,0.06976744186046512,1
1_1_62,1,2,Glob,1003,0,5,3357,44,0.11363636363636363,1
1_1_63,1,3,VP,705,2,3,3015,47,0.06382978723404255,1
1_1_64,1,4,VP,962,0,4,4445,48,0.08333333333333333,1
1_1_65,1,5,NP,542,0,1,4639,49,0.02040816326530612,1
1_1_66,1,6,Glob,681,0,3,3506,48,0.0625,1
1_1_67,1,7,VP,607,0,1,4201,47,0.02127659574468085,1
1_1_68,1,8,NP,1110,0,4,3535,39,0.10256410256410256,1
1_1_69,1,9,NP,799,0,2,4648,50,0.04,1
1_1_70,1,10,Glob,770,0,4,3360,51,0.0784313725490196,1
1_1_71,1,11,NP,576,0,0,3578,44,0,1
1_1_72,1,12,VP,898,0,5,3321,47,0.10638297872340426,1
1_1_73,1,13,Glob,77,0,5,2488,49,0.10204081632653061,1
1_1_74,1,14,Glob,1168,0,0,2897,41,0,1
1_1_75,1,15,VP,621,0,1,3462,42,0.023809523809523808,1
1_1_76,1,16,VP,731,0,1,2912,44,0.022727272727272728,1
1_1_77,1,17,NP,684,0,2,3576,42,0.047619047619047616,1
1_1_78,1,18,Glob,836,0,7,3765,44,0.1590909090909091,1
1_1_79,1,19,VP,869,0,3,3549,50,0.06,1
1_1_80,1,20,NP,581,0,2,5111,47,0.0425531914893617,1
1_1_81,1,21,NP,518,0,1,3302,52,0.019230769230769232,1
1_1_82,1,22,Glob,714,0,1,3698,39,0.02564102564102564,1
1_1_83,1,23,NP,791,0,5,3243,43,0.11627906976744186,1
1_1_84,1,24,VP,885,0,7,3678,44,0.1590909090909091,1
1_10_61,2,1,Glob,829,0,3,4513,43,0.06976744186046512,1
1_10_62,2,2,NP,373,0,0,3958,44,0,1
1_10_63,2,3,VP,408,7,0,2961,47,0,1
1_10_64,2,4,Glob,399,0,0,2835,48,0,1
1_10_65,2,5,Glob,586,33,0,2748,49,0,1
1_10_66,2,6,VP,362,0,0,3215,46,0,1
1_10_67,2,7,Glob,1117,5,15,181,49,0.30612244897959184,1
1_10_68,2,8,NP,463,0,0,2987,39,0,1
1_10_69,2,9,VP,409,0,16,4016,50,0.32,1
1_10_70,2,10,NP,460,0,1,3295,51,0.0196078431372549,1
1_10_71,2,11,NP,748,0,0,3052,44,0,1
1_10_72,2,12,VP,381,5,1,2606,47,0.02127659574468085,1
1_10_73,2,13,Glob,235,0,0,3080,49,0,1
1_10_74,2,14,NP,576,0,0,4791,41,0,1
1_10_75,2,15,VP,284,0,0,3573,42,0,1
1_10_76,2,16,Glob,419,0,17,4655,44,0.38636363636363635,1
1_10_77,2,17,Glob,471,0,0,2346,41,0,1
1_10_78,2,18,VP,477,0,2,2935,44,0.045454545454545456,1
1_10_79,2,19,Glob,800,0,4,4150,50,0.08,1
1_10_80,2,20,NP,340,0,2,3692,47,0.0425531914893617,1
1_10_81,2,21,VP,785,3,1,2626,51,0.0196078431372549,1
1_10_82,2,22,NP,999,0,4,2873,40,0.1,1
1_10_83,2,23,NP,372,1,0,2835,43,0,1
1_10_84,2,24,VP,636,0,0,3006,44,0,1
1_11_61,3,1,VP,676,0,0,2277,43,0,1
1_11_62,3,2,Glob,553,0,0,2238,44,0,1
1_11_63,3,3,Glob,346,0,0,2755,47,0,1
1_11_64,3,4,NP,606,2,0,2319,48,0,1
1_11_65,3,5,Glob,607,0,0,2110,49,0,1
1_11_66,3,6,Glob,246,2,0,3029,48,0,1
1_11_67,3,7,VP,570,0,0,2075,47,0,1
1_11_68,3,8,VP,296,0,4,2063,39,0.10256410256410256,1
1_11_69,3,9,NP,815,0,0,2423,50,0,1
1_11_70,3,10,NP,631,4,0,2823,51,0,1
1_11_71,3,11,VP,479,4,0,2076,44,0,1
1_11_72,3,12,NP,330,0,0,2826,48,0,1
1_11_73,3,13,VP,341,1,0,2400,48,0,1
1_11_74,3,14,Glob,556,1,0,2126,41,0,1
1_11_75,3,15,Glob,702,4,0,1829,43,0,1
1_11_76,3,16,NP,771,2,0,2176,44,0,1
1_11_77,3,17,Glob,560,1,3,1699,41,0.07317073170731707,1
1_11_78,3,18,Glob,419,0,0,2759,44,0,1
1_11_79,3,19,VP,429,1,1,3603,50,0.02,1
1_11_80,3,20,VP,551,6,5,3639,50,0.1,1
1_11_81,3,21,NP,684,0,0,1980,52,0,1
1_11_82,3,22,NP,429,0,0,2422,40,0,1
1_11_83,3,23,VP,565,1,0,2250,43,0,1
1_11_84,3,24,NP,411,0,1,1717,43,0.023255813953488372,1
1_12_61,4,1,Glob,613,0,0,2599,43,0,1
1_12_62,4,2,VP,159,0,0,2967,44,0,1
1_12_63,4,3,Glob,222,0,0,2250,47,0,1
1_12_64,4,4,Glob,338,0,4,3026,48,0.08333333333333333,1
1_12_65,4,5,VP,214,15,0,2429,49,0,1
1_12_66,4,6,NP,398,0,0,3350,48,0,1
1_12_67,4,7,NP,526,7,0,2976,47,0,1
1_12_68,4,8,Glob,421,3,0,2292,41,0,1
1_12_69,4,9,VP,182,0,0,2622,50,0,1
1_12_70,4,10,VP,248,3,1,5680,53,0.018867924528301886,1
1_12_71,4,11,NP,516,0,0,2186,44,0,1
1_12_72,4,12,NP,199,0,1,2893,48,0.020833333333333332,1
1_12_73,4,13,Glob,317,0,0,2700,49,0,1
1_12_74,4,14,VP,550,3,0,1890,42,0,1
1_12_75,4,15,Glob,583,0,0,2672,43,0,1
1_12_76,4,16,Glob,247,0,0,2529,44,0,1
1_12_77,4,17,VP,185,4,0,2387,42,0,1
1_12_78,4,18,NP,603,0,1,2723,44,0.022727272727272728,1
1_12_79,4,19,NP,335,13,0,5290,50,0,1
1_12_80,4,20,Glob,571,0,2,3323,47,0.0425531914893617,1
1_12_81,4,21,VP,196,0,0,3878,51,0,1
1_12_82,4,22,VP,121,0,0,2079,40,0,1
1_12_83,4,23,NP,521,3,0,3561,43,0,1
1_12_84,4,24,NP,551,4,0,2948,43,0,1
1_3_61,5,1,NP,444,1,0,1809,43,0,1
1_3_62,5,2,VP,293,0,1,2754,44,0.022727272727272728,1
1_3_63,5,3,VP,500,14,0,2807,47,0,1
1_3_64,5,4,Glob,477,0,3,1651,48,0.0625,1
1_3_65,5,5,NP,831,7,3,2362,49,0.061224489795918366,1
1_3_66,5,6,Glob,448,0,1,2991,48,0.020833333333333332,1
1_3_67,5,7,NP,558,4,0,2443,47,0,1
1_3_68,5,8,VP,472,0,0,1734,39,0,1
1_3_69,5,9,VP,619,3,0,1815,50,0,1
1_3_70,5,10,Glob,383,1,4,2865,51,0.0784313725490196,1
1_3_71,5,11,Glob,430,5,0,1616,44,0,1
1_3_72,5,12,NP,702,0,1,3505,48,0.020833333333333332,1
1_3_73,5,13,NP,738,0,0,1653,49,0,1
1_3_74,5,14,VP,810,0,3,3370,42,0.07142857142857142,1
1_3_75,5,15,VP,449,0,0,2189,42,0,1
1_3_76,5,16,Glob,533,5,1,2618,44,0.022727272727272728,1
1_3_77,5,17,NP,648,9,0,3553,42,0,1
1_3_78,5,18,Glob,348,0,1,2914,44,0.022727272727272728,1
1_3_79,5,19,NP,1051,3,1,6244,50,0.02,1
1_3_80,5,20,VP,430,3,6,4481,50,0.12,1
1_3_81,5,21,VP,473,6,2,3287,51,0.0392156862745098,1
1_3_82,5,22,Glob,667,5,1,2172,39,0.02564102564102564,1
1_3_83,5,23,Glob,415,3,0,2129,44,0,1
1_3_84,5,24,NP,351,1,3,3073,43,0.06976744186046512,1
1_4_61,6,1,VP,592,5,0,5372,43,0,1
1_4_62,6,2,NP,463,8,0,4245,44,0,1
1_4_63,6,3,NP,532,2,1,5991,47,0.02127659574468085,1
1_4_64,6,4,VP,248,2,2,4111,48,0.041666666666666664,1
1_4_65,6,5,NP,323,1,0,3466,49,0,1
1_4_66,6,6,Glob,685,0,0,6240,48,0,1
1_4_67,6,7,VP,518,0,1,3408,47,0.02127659574468085,1
1_4_68,6,8,Glob,450,0,0,3268,41,0,1
1_4_69,6,9,Glob,485,0,0,3558,50,0,1
1_4_70,6,10,VP,311,0,1,3941,53,0.018867924528301886,1
1_4_71,6,11,NP,457,0,0,3347,44,0,1
1_4_72,6,12,Glob,490,0,0,3690,48,0,1
1_4_73,6,13,VP,589,0,0,5425,48,0,1
1_4_74,6,14,NP,296,0,0,4426,41,0,1
1_4_75,6,15,NP,467,2,0,3967,42,0,1
1_4_76,6,16,VP,553,0,0,4415,44,0,1
1_4_77,6,17,NP,473,0,0,3363,42,0,1
1_4_78,6,18,Glob,557,0,0,3342,44,0,1
1_4_79,6,19,VP,244,0,0,4685,50,0,1
1_4_80,6,20,Glob,564,0,2,5381,47,0.0425531914893617,1
1_4_81,6,21,Glob,391,1,3,5084,52,0.057692307692307696,1
1_4_82,6,22,VP,669,0,0,3776,40,0,1
1_4_83,6,23,NP,549,7,0,3509,43,0,1
1_4_84,6,24,Glob,457,0,0,4398,43,0,1
1_5_61,7,1,NP,407,9,0,2088,43,0,1
1_5_62,7,2,VP,246,3,0,2575,44,0,1
1_5_63,7,3,NP,540,2,1,2673,47,0.02127659574468085,1
1_5_64,7,4,NP,264,11,0,3098,48,0,1
1_5_65,7,5,VP,275,16,0,1957,49,0,1
1_5_66,7,6,VP,390,1,1,3235,46,0.021739130434782608,1
1_5_67,7,7,Glob,284,0,0,2594,49,0,1
1_5_68,7,8,Glob,381,0,0,2983,41,0,1
1_5_69,7,9,NP,396,2,0,4355,50,0,1
1_5_70,7,10,Glob,215,2,1,2518,51,0.0196078431372549,1
1_5_71,7,11,Glob,159,6,0,1657,44,0,1
1_5_72,7,12,VP,353,0,0,3228,47,0,1
1_5_73,7,13,NP,210,0,0,2007,49,0,1
1_5_74,7,14,VP,320,0,1,4017,42,0.023809523809523808,1
1_5_75,7,15,NP,199,0,0,2569,42,0,1
1_5_76,7,16,NP,400,0,0,3204,44,0,1
1_5_77,7,17,VP,206,7,0,3539,42,0,1
1_5_78,7,18,VP,326,0,5,3487,44,0.11363636363636363,1
1_5_79,7,19,Glob,356,0,0,4304,50,0,1
1_5_80,7,20,Glob,366,9,2,2339,47,0.0425531914893617,1
1_5_81,7,21,NP,719,0,4,4236,52,0.07692307692307693,1
1_5_82,7,22,Glob,224,2,1,2808,39,0.02564102564102564,1
1_5_83,7,23,Glob,271,5,0,2435,44,0,1
1_5_84,7,24,VP,464,9,0,3344,44,0,1
1_6_61,8,1,NP,911,0,0,3894,43,0,1
1_6_62,8,2,NP,749,3,1,4927,44,0.022727272727272728,1
1_6_63,8,3,VP,591,0,5,2988,47,0.10638297872340426,1
1_6_64,8,4,VP,614,1,2,5087,48,0.041666666666666664,1
1_6_65,8,5,Glob,505,10,0,3629,49,0,1
1_6_66,8,6,NP,626,0,4,4334,48,0.08333333333333333,1
1_6_67,8,7,NP,593,0,0,3960,47,0,1
1_6_68,8,8,VP,888,0,1,2348,39,0.02564102564102564,1
1_6_69,8,9,Glob,675,0,1,4489,50,0.02,1
1_6_70,8,10,Glob,668,1,1,6581,51,0.0196078431372549,1
1_6_71,8,11,VP,503,0,0,3264,44,0,1
1_6_72,8,12,Glob,742,0,0,6385,48,0,1
1_6_73,8,13,NP,652,0,0,6471,49,0,1
1_6_74,8,14,NP,837,0,0,5071,41,0,1
1_6_75,8,15,VP,702,0,3,5242,42,0.07142857142857142,1
1_6_76,8,16,VP,841,2,1,8365,44,0.022727272727272728,1
1_6_77,8,17,Glob,723,2,0,4962,41,0,1
1_6_78,8,18,NP,786,0,0,3234,44,0,1
1_6_79,8,19,NP,1164,1,0,7672,50,0,1
1_6_80,8,20,VP,1574,0,5,5594,50,0.1,1
1_6_81,8,21,Glob,658,0,11,5269,52,0.21153846153846154,1
1_6_82,8,22,Glob,589,0,1,3384,39,0.02564102564102564,1
1_6_83,8,23,VP,599,1,2,5157,43,0.046511627906976744,1
1_6_84,8,24,Glob,650,5,3,2954,43,0.06976744186046512,1
1_7_61,9,1,VP,372,1,0,1532,43,0,1
1_7_62,9,2,NP,362,1,4,1768,44,0.09090909090909091,1
1_7_63,9,3,Glob,333,4,1,1347,47,0.02127659574468085,1
1_7_64,9,4,NP,425,3,2,2532,48,0.041666666666666664,1
1_7_65,9,5,NP,412,0,0,3756,49,0,1
1_7_66,9,6,VP,179,4,0,4481,46,0,1
1_7_67,9,7,Glob,299,0,0,2869,49,0,1
1_7_68,9,8,NP,499,0,1,2607,39,0.02564102564102564,1
1_7_69,9,9,VP,216,2,0,1586,50,0,1
1_7_70,9,10,VP,405,0,35,3971,53,0.660377358490566,1
1_7_71,9,11,Glob,169,7,0,1864,44,0,1
1_7_72,9,12,Glob,83,1,1,3508,48,0.020833333333333332,1
1_7_73,9,13,VP,685,6,8,3797,48,0.16666666666666666,1
1_7_74,9,14,NP,133,0,1,4210,41,0.024390243902439025,1
1_7_75,9,15,Glob,241,0,0,3403,43,0,1
1_7_76,9,16,NP,334,0,1,2527,44,0.022727272727272728,1
1_7_77,9,17,NP,501,1,0,1382,42,0,1
1_7_78,9,18,VP,715,1,0,3071,44,0,1
1_7_79,9,19,Glob,433,4,1,2965,50,0.02,1
1_7_80,9,20,NP,330,12,2,3351,47,0.0425531914893617,1
1_7_81,9,21,VP,203,0,0,3430,51,0,1
1_7_82,9,22,VP,1090,0,0,0,40,0,1
1_7_83,9,23,Glob,182,6,0,2393,44,0,1
1_7_84,9,24,Glob,573,2,0,2626,43,0,1
1_8_61,10,1,Glob,289,2,1,3523,43,0.023255813953488372,1
1_8_62,10,2,VP,327,0,0,3191,44,0,1
1_8_63,10,3,NP,193,6,0,2822,47,0,1
1_8_64,10,4,NP,318,0,0,3473,48,0,1
1_8_65,10,5,Glob,216,2,0,2821,49,0,1
1_8_66,10,6,NP,693,0,0,3799,48,0,1
1_8_67,10,7,VP,271,0,0,2371,47,0,1
1_8_68,10,8,VP,367,0,0,2452,39,0,1
1_8_69,10,9,Glob,287,1,3,2966,50,0.06,1
1_8_70,10,10,NP,717,1,0,4663,51,0,1
1_8_71,10,11,Glob,398,3,1,2650,44,0.022727272727272728,1
1_8_72,10,12,VP,366,1,0,2964,47,0,1
1_8_73,10,13,Glob,339,0,0,3701,49,0,1
1_8_74,10,14,VP,313,1,0,2894,42,0,1
1_8_75,10,15,NP,402,3,1,3004,42,0.023809523809523808,1
1_8_76,10,16,NP,415,2,0,3506,44,0,1
1_8_77,10,17,Glob,365,4,0,2706,41,0,1
1_8_78,10,18,NP,272,3,0,2833,44,0,1
1_8_79,10,19,VP,463,30,0,2925,50,0,1
1_8_80,10,20,VP,264,5,7,4377,50,0.14,1
1_8_81,10,21,Glob,346,0,1,3723,52,0.019230769230769232,1
1_8_82,10,22,NP,381,5,0,3817,40,0,1
1_8_83,10,23,Glob,399,3,0,3043,44,0,1
1_8_84,10,24,VP,275,0,0,2970,44,0,1
1_9_61,11,1,NP,191,0,0,6180,43,0,1
1_9_62,11,2,Glob,454,6,0,3894,44,0,1
1_9_63,11,3,Glob,421,0,0,6683,47,0,1
1_9_64,11,4,VP,236,4,0,8161,48,0,1
1_9_65,11,5,VP,869,1,0,9966,49,0,1
1_9_66,11,6,NP,473,36,0,8537,48,0,1
1_9_67,11,7,Glob,321,42,0,7173,49,0,1
1_9_68,11,8,NP,193,1,0,7978,39,0,1
1_9_69,11,9,Glob,246,3,0,4716,50,0,1
1_9_70,11,10,VP,526,0,0,14679,53,0,1
1_9_71,11,11,VP,167,12,0,6331,44,0,1
1_9_72,11,12,NP,152,2,0,7049,48,0,1
1_9_73,11,13,NP,209,4,0,7048,49,0,1
1_9_74,11,14,Glob,698,3,0,6465,41,0,1
1_9_75,11,15,Glob,292,42,0,6333,43,0,1
1_9_76,11,16,VP,1046,0,0,5317,44,0,1
1_9_77,11,17,VP,509,22,0,5610,42,0,1
1_9_78,11,18,NP,393,11,0,5558,44,0,1
1_9_79,11,19,Glob,1115,3,0,6786,50,0,1
1_9_80,11,20,NP,386,2,7,11444,47,0.14893617021276595,1
1_9_81,11,21,Glob,444,10,0,10164,52,0,1
1_9_82,11,22,VP,371,4,0,5427,40,0,1
1_9_83,11,23,VP,598,0,0,6505,43,0,1
1_9_84,11,24,NP,684,0,1,8385,43,0.023255813953488372,1
2_1_61,12,1,Glob,890,1,1,3418,43,0.023255813953488372,1
2_1_62,12,2,NP,257,0,2,6327,44,0.045454545454545456,1
2_1_63,12,3,Glob,102,0,4,3128,47,0.0851063829787234,1
2_1_64,12,4,VP,561,3,0,5333,48,0,1
2_1_65,12,5,NP,267,1,0,5132,49,0,1
2_1_66,12,6,NP,199,1,0,6640,48,0,1
2_1_67,12,7,VP,848,0,0,3642,47,0,1
2_1_68,12,8,VP,173,3,0,2511,39,0,1
2_1_69,12,9,VP,494,1,1,4951,50,0.02,1
2_1_70,12,10,NP,446,0,1,9181,51,0.0196078431372549,1
2_1_71,12,11,Glob,242,1,0,2476,44,0,1
2_1_72,12,12,Glob,216,1,1,4237,48,0.020833333333333332,1
2_1_73,12,13,Glob,303,0,4,2563,49,0.08163265306122448,1
2_1_74,12,14,NP,393,1,0,2753,41,0,1
2_1_75,12,15,Glob,194,1,0,1692,43,0,1
2_1_76,12,16,VP,288,1,0,4023,44,0,1
2_1_77,12,17,NP,230,11,1,2734,42,0.023809523809523808,1
2_1_78,12,18,NP,490,5,0,2941,44,0,1
2_1_79,12,19,VP,516,5,0,14729,50,0,1
2_1_80,12,20,VP,537,0,4,5535,50,0.08,1
2_1_81,12,21,VP,273,0,1,4083,51,0.0196078431372549,1
2_1_82,12,22,NP,265,2,0,3147,40,0,1
2_1_83,12,23,Glob,250,2,0,3267,44,0,1
2_1_84,12,24,Glob,269,0,0,3810,43,0,1
2_10_61,13,1,NP,593,0,0,2296,43,0,1
2_10_62,13,2,VP,192,0,0,2456,44,0,1
2_10_63,13,3,VP,262,15,0,3006,47,0,1
2_10_64,13,4,NP,273,0,0,2796,48,0,1
2_10_65,13,5,NP,429,1,0,2425,49,0,1
2_10_66,13,6,Glob,563,8,0,5028,48,0,1
2_10_67,13,7,Glob,334,0,0,2843,49,0,1
2_10_68,13,8,Glob,354,0,0,3046,41,0,1
2_10_69,13,9,Glob,673,0,0,4179,50,0,1
2_10_70,13,10,VP,513,1,1,3767,53,0.018867924528301886,1
2_10_71,13,11,NP,513,1,0,4153,44,0,1
2_10_72,13,12,VP,234,0,0,4357,47,0,1
2_10_73,13,13,NP,451,0,0,2971,49,0,1
2_10_74,13,14,VP,266,0,0,3200,42,0,1
2_10_75,13,15,VP,533,0,0,2778,42,0,1
2_10_76,13,16,NP,341,0,0,3864,44,0,1
2_10_77,13,17,NP,766,0,0,2687,42,0,1
2_10_78,13,18,Glob,486,0,1,2538,44,0.022727272727272728,1
2_10_79,13,19,Glob,361,1,0,3219,50,0,1
2_10_80,13,20,Glob,340,3,2,5979,47,0.0425531914893617,1
2_10_81,13,21,Glob,558,5,0,4779,52,0,1
2_10_82,13,22,VP,399,0,0,2375,40,0,1
2_10_83,13,23,NP,533,1,0,3284,43,0,1
2_10_84,13,24,VP,446,0,0,3260,44,0,1
2_11_61,14,1,VP,401,0,0,1995,43,0,1
2_11_62,14,2,NP,375,34,0,3519,44,0,1
2_11_63,14,3,NP,532,0,3,3480,47,0.06382978723404255,1
2_11_64,14,4,VP,652,0,0,2838,48,0,1
2_11_65,14,5,Glob,531,0,0,9393,49,0,1
2_11_66,14,6,NP,405,0,3,3670,48,0.0625,1
2_11_67,14,7,Glob,161,0,0,4545,49,0,1
2_11_68,14,8,Glob,365,0,0,6797,41,0,1
2_11_69,14,9,NP,286,0,0,2845,50,0,1
2_11_70,14,10,Glob,257,0,5,4081,51,0.09803921568627451,1
2_11_71,14,11,VP,339,0,0,3219,44,0,1
2_11_72,14,12,VP,362,0,2,3252,47,0.0425531914893617,1
2_11_73,14,13,VP,361,0,0,3153,48,0,1
2_11_74,14,14,NP,409,4,0,2379,41,0,1
2_11_75,14,15,NP,409,1,0,2725,42,0,1
2_11_76,14,16,VP,191,1,1,4448,44,0.022727272727272728,1
2_11_77,14,17,Glob,418,0,0,2246,41,0,1
2_11_78,14,18,NP,258,2,0,2723,44,0,1
2_11_79,14,19,Glob,132,0,1,3441,50,0.02,1
2_11_80,14,20,Glob,287,0,0,4088,47,0,1
2_11_81,14,21,NP,134,0,0,3910,52,0,1
2_11_82,14,22,Glob,456,0,3,3432,39,0.07692307692307693,1
2_11_83,14,23,VP,300,0,4,1981,43,0.09302325581395349,1
2_11_84,14,24,VP,283,1,3,4479,44,0.06818181818181818,1
2_12_61,15,1,NP,84,3,0,1719,43,0,1
2_12_62,15,2,VP,193,1,0,3861,44,0,1
2_12_63,15,3,Glob,220,4,3,3055,47,0.06382978723404255,1
2_12_64,15,4,NP,192,3,0,5492,48,0,1
2_12_65,15,5,Glob,63,1,0,5840,49,0,1
2_12_66,15,6,VP,28,7,0,5495,46,0,1
2_12_67,15,7,NP,159,1,0,3879,47,0,1
2_12_68,15,8,NP,159,3,0,2577,39,0,1
2_12_69,15,9,VP,20,0,0,4822,50,0,1
2_12_70,15,10,Glob,101,3,1,6333,51,0.0196078431372549,1
2_12_71,15,11,VP,187,2,0,6008,44,0,1
2_12_72,15,12,Glob,40,8,3,2732,48,0.0625,1
2_12_73,15,13,NP,439,2,14,2579,49,0.2857142857142857,1
2_12_74,15,14,VP,115,7,0,3184,42,0,1
2_12_75,15,15,Glob,344,1,0,3583,43,0,1
2_12_76,15,16,NP,411,6,0,7750,44,0,1
2_12_77,15,17,Glob,343,1,2,4602,41,0.04878048780487805,1
2_12_78,15,18,VP,28,11,1,2523,44,0.022727272727272728,1
2_12_79,15,19,NP,7,4,0,4545,50,0,1
2_12_80,15,20,NP,57,4,0,7681,47,0,1
2_12_81,15,21,VP,21,1,0,3619,51,0,1
2_12_82,15,22,Glob,451,0,0,3174,39,0,1
2_12_83,15,23,VP,38,4,0,2625,43,0,1
2_12_84,15,24,Glob,33,1,0,2424,43,0,1
2_2_62,16,2,Glob,132,2,2,2519,44,0.045454545454545456,1
2_2_63,16,3,NP,377,0,0,7458,47,0,1
2_2_64,16,4,NP,352,3,11,5090,48,0.22916666666666666,1
2_2_65,16,5,VP,202,0,1,7335,49,0.02040816326530612,1
2_2_66,16,6,VP,147,19,1,2780,46,0.021739130434782608,1
2_2_67,16,7,VP,238,0,0,2086,47,0,1
2_2_68,16,8,NP,371,3,8,4456,39,0.20512820512820512,1
2_2_69,16,9,Glob,271,0,5,8710,50,0.1,1
2_2_70,16,10,VP,226,25,6,7574,53,0.11320754716981132,1
2_2_71,16,11,Glob,264,0,1,2229,44,0.022727272727272728,1
2_2_72,16,12,NP,183,0,0,4095,48,0,1
2_2_73,16,13,Glob,272,24,0,3686,49,0,1
2_2_74,16,14,Glob,112,9,1,2155,41,0.024390243902439025,1
2_2_75,16,15,NP,166,1,3,2232,42,0.07142857142857142,1
2_2_76,16,16,NP,250,1,1,10196,44,0.022727272727272728,1
2_2_77,16,17,VP,162,4,1,8175,42,0.023809523809523808,1
2_2_78,16,18,VP,274,1,0,4101,44,0,1
2_2_79,16,19,VP,168,17,1,8342,50,0.02,1
2_2_80,16,20,NP,139,0,1,5668,47,0.02127659574468085,1
2_2_81,16,21,Glob,152,1,0,9547,52,0,1
2_2_82,16,22,VP,401,0,1,4603,40,0.025,1
2_2_83,16,23,Glob,211,0,0,2196,44,0,1
2_2_84,16,24,NP,620,0,2,3797,43,0.046511627906976744,1
2_3_61,17,1,NP,294,2,0,5511,43,0,1
2_3_62,17,2,Glob,749,0,0,12143,44,0,1
2_3_63,17,3,VP,421,10,0,7094,47,0,1
2_3_64,17,4,Glob,237,1,0,8129,48,0,1
2_3_65,17,5,VP,531,0,1,3531,49,0.02040816326530612,1
2_3_66,17,6,NP,255,9,2,5597,48,0.041666666666666664,1
2_3_67,17,7,Glob,461,0,0,1965,49,0,1
2_3_68,17,8,VP,370,0,0,5537,39,0,1
2_3_69,17,9,Glob,574,0,0,9221,50,0,1
2_3_70,17,10,NP,512,5,5,3481,51,0.09803921568627451,1
2_3_71,17,11,NP,514,2,0,2300,44,0,1
2_3_72,17,12,VP,627,0,0,9472,47,0,1
2_3_73,17,13,NP,286,4,4,4134,49,0.08163265306122448,1
2_3_74,17,14,Glob,401,10,0,2570,41,0,1
2_3_75,17,15,VP,585,0,0,2910,42,0,1
2_3_76,17,16,Glob,253,22,0,5702,44,0,1
2_3_77,17,17,VP,573,1,0,2372,42,0,1
2_3_78,17,18,NP,539,0,0,6594,44,0,1
2_3_79,17,19,Glob,326,1,0,3861,50,0,1
2_3_80,17,20,VP,693,0,10,3965,50,0.2,1
2_3_81,17,21,Glob,374,3,1,8300,52,0.019230769230769232,1
2_3_82,17,22,NP,636,1,0,8512,40,0,1
2_3_83,17,23,NP,272,1,0,7721,43,0,1
2_3_84,17,24,VP,602,0,0,2844,44,0,1
2_4_61,18,1,VP,242,1,0,1129,43,0,1
2_4_62,18,2,NP,110,14,0,1806,44,0,1
2_4_63,18,3,VP,69,7,0,1944,47,0,1
2_4_64,18,4,Glob,161,3,0,1221,48,0,1
2_4_65,18,5,Glob,272,7,1,2109,49,0.02040816326530612,1
2_4_66,18,6,Glob,388,0,0,1318,48,0,1
2_4_67,18,7,Glob,661,2,0,1592,49,0,1
2_4_68,18,8,NP,743,5,0,1529,39,0,1
2_4_69,18,9,NP,293,4,0,1639,50,0,1
2_4_70,18,10,VP,252,1,0,1710,53,0,1
2_4_71,18,11,VP,248,6,0,1293,44,0,1
2_4_72,18,12,NP,393,2,0,1749,48,0,1
2_4_73,18,13,VP,298,0,0,1395,48,0,1
2_4_74,18,14,NP,187,0,1,1147,41,0.024390243902439025,1
2_4_75,18,15,VP,705,7,0,1105,42,0,1
2_4_76,18,16,Glob,429,9,0,1319,44,0,1
2_4_77,18,17,Glob,428,0,0,1789,41,0,1
2_4_78,18,18,Glob,660,6,0,1245,44,0,1
2_4_79,18,19,Glob,181,7,3,1461,50,0.06,1
2_4_80,18,20,NP,380,4,0,1954,47,0,1
2_4_81,18,21,NP,278,19,0,1636,52,0,1
2_4_82,18,22,VP,355,1,0,1006,40,0,1
2_4_83,18,23,VP,411,0,0,1970,43,0,1
2_4_84,18,24,NP,521,5,0,1558,43,0,1
2_5_61,19,1,VP,187,0,0,2464,43,0,1
2_5_62,19,2,VP,171,8,0,2768,44,0,1
2_5_63,19,3,Glob,124,7,1,2090,47,0.02127659574468085,1
2_5_64,19,4,NP,576,1,1,5267,48,0.020833333333333332,1
2_5_65,19,5,Glob,272,10,0,4250,49,0,1
2_5_66,19,6,Glob,67,5,1,3029,48,0.020833333333333332,1
2_5_67,19,7,NP,83,2,1,3056,47,0.02127659574468085,1
2_5_68,19,8,Glob,61,0,4,3282,41,0.0975609756097561,1
2_5_69,19,9,VP,144,0,0,2703,50,0,1
2_5_70,19,10,NP,115,3,1,2798,51,0.0196078431372549,1
2_5_71,19,11,NP,311,2,0,2731,44,0,1
2_5_72,19,12,VP,66,0,4,1859,47,0.0851063829787234,1
2_5_73,19,13,VP,342,2,0,3924,48,0,1
2_5_74,19,14,VP,530,0,0,2687,42,0,1
2_5_75,19,15,Glob,117,0,0,1976,43,0,1
2_5_76,19,16,NP,243,0,4,2393,44,0.09090909090909091,1
2_5_77,19,17,Glob,216,0,0,1838,41,0,1
2_5_78,19,18,Glob,572,1,0,3116,44,0,1
2_5_79,19,19,NP,267,5,1,3149,50,0.02,1
2_5_80,19,20,Glob,162,8,9,3070,47,0.19148936170212766,1
2_5_81,19,21,VP,217,0,1,6366,51,0.0196078431372549,1
2_5_82,19,22,NP,237,0,4,2533,40,0.1,1
2_5_83,19,23,NP,168,0,0,2715,43,0,1
2_5_84,19,24,VP,111,0,0,2119,44,0,1
